0;0,028;;35.91;;;;;21.0;;;;;;;;;
1;4,230;62.0;;;;;;;;;;;;31788.0;33111.0;;
2;304,076;;36.16;;;;;0.0;;;;;;;;;
3;308,239;64.0;;;;;;;;;;;;32350.0;32920.0;;
4;606,891;;36.25;;;;;0.0;;;;;;;;;
5;611,154;65.0;;;;;;;;;;;;32625.0;32585.0;;
6;910,685;;36.21;;;;;0.0;;;;;;;;;
7;914,952;66.0;;;;;;;;;;;;32830.0;32444.0;;
8;1214,356;;35.81;;;;;12.0;;;;;;;;;
9;1218,611;64.0;;;;;;;;;;;;32255.0;31973.0;;
10;1520,168;65.0;35.77;;;;;0.0;;;;;;32306.0;31797.0;;
11;1823,599;65.0;35.73;;;;;0.0;;;;;;32346.0;31657.0;;
12;2124,412;;35.68;;;;;1.0;;;;;;;;;
13;2128,676;66.0;;;;;;;;;;;;32569.0;31497.0;;
14;2427,160;;35.68;;;;;0.0;;;;;;;;;
15;2431,331;66.0;;;;;;;;;;;;32643.0;31388.0;;
16;2729,920;;35.65;;;;;0.0;;;;;;;;;
17;2734,186;66.0;;;;;;;;;;;;32684.0;31285.0;;
18;3032,815;;35.65;;;;;0.0;;;;;;;;;
19;3036,977;66.0;;;;;;;;;;;;32683.0;31253.0;;
20;3336,554;;35.77;;;;;7.0;;;;;;;;;
21;3340,693;66.0;;;;;;;;;;;;32397.0;31054.0;;
22;3639,593;;35.95;;;;;1.0;;;;;;;;;
23;3643,780;64.0;;;;;;;;;;;;31856.0;31042.0;;
24;3942,062;;35.95;;;;;0.0;;;;;;;;;
25;3946,269;64.0;;;;;;;;;;;;31877.0;31026.0;;
26;4247,285;64.0;35.91;;;;;0.0;;;;;;31766.0;31002.0;;
27;4547,560;;35.95;;;;;0.0;;;;;;;;;
28;4551,722;64.0;;;;;;;;;;;;31771.0;30968.0;;
29;4851,230;;36.03;;;;;5.0;;;;;;;;;
30;4855,471;62.0;;;;;;;;;;;;31277.0;30913.0;;
31;5154,429;;36.25;;;;;0.0;;;;;;;;;
32;5158,591;62.0;;;;;;;;;;;;31029.0;30894.0;;
33;5459,279;58.0;36.29;;;;;5.0;;;;;;29772.0;31168.0;;
34;5762,361;57.0;36.33;;;;;0.0;;;;;;29663.0;31201.0;;
35;6063,530;;36.47;;;;;0.0;;;;;;;;;
36;6067,670;57.0;;;;;;;;;;;;29664.0;31209.0;;
37;6365,975;;36.55;;;;;1.0;;;;;;;;;
38;6370,172;58.0;;;;;;;;;;;;29751.0;31093.0;;
39;6670,063;;36.55;;;;;0.0;;;;;;;;;
40;6674,302;58.0;;;;;;;;;;;;29857.0;31066.0;;
41;6972,968;;36.55;;;;;0.0;;;;;;;;;
42;6977,223;58.0;;;;;;;;;;;;29936.0;31041.0;;
43;7278,056;58.0;36.47;;;;;0.0;;;;;;29867.0;31011.0;;
44;7579,298;;36.47;;;;;0.0;;;;;;;;;
45;7583,561;57.0;;;;;;;;;;;;29559.0;30990.0;;
46;7881,607;;36.43;;;;;0.0;;;;;;;;;
47;7885,829;57.0;;;;;;;;;;;;29368.0;30970.0;;
48;8184,773;;36.16;;;;;1.0;;;;;;;;;
49;8189,003;55.0;;;;;;;;;;;;28649.0;30932.0;;
50;8490,660;54.0;35.84;;;;;4.0;;;;;;28482.0;30934.0;;
51;8791,135;;35.95;;;;;3.0;;;;;;;;;
52;8795,329;57.0;;;;;;;;;;;;29273.0;30906.0;;
53;9097,001;57.0;35.95;;;;;0.0;;;;;;29380.0;30892.0;;
54;9397,522;;36.07;;;;;0.0;;;;;;;;;
55;9401,752;57.0;;;;;;;;;;;;29378.0;30879.0;;
56;9700,698;;36.11;;;;;0.0;;;;;;;;;
57;9704,861;57.0;;;;;;;;;;;;29358.0;30863.0;;
58;10004,754;;36.21;;;;;0.0;;;;;;;;;
59;10009,015;56.0;;;;;;;;;;;;29250.0;30849.0;;
60;10309,799;56.0;36.29;;;;;0.0;;;;;;29235.0;30832.0;;
61;10612,960;56.0;36.33;;;;;0.0;;;;;;29198.0;30819.0;;
62;10913,448;;36.33;;;;;9.0;;;;;;;;;
63;10917,599;54.0;;;;;;;;;;;;28319.0;30179.0;;
64;11216,656;;36.5;;;;;5.0;;;;;;;;;
65;11220,883;52.0;;;;;;;;;;;;27646.0;30591.0;;
66;11519,814;;36.55;;;;;6.0;;;;;;;;;
67;11524,075;53.0;;;;;;;;;;;;27942.0;30806.0;;
68;11825,770;53.0;36.5;;;;;3.0;;;;;;28129.0;30813.0;;
69;12126,354;;36.5;;;;;0.0;;;;;;;;;
70;12130,588;54.0;;;;;;;;;;;;28329.0;30746.0;;
71;12429,553;;36.21;;;;;15.0;;;;;;;;;
72;12433,808;43.0;;;;;;;;;;;;26802.0;42634.0;;
73;12735,643;;36.29;;;;;7.0;;;;;;;;;
74;12739,773;43.0;;;;;;;;;;;;26672.0;41406.0;;
75;13036,962;;36.25;;;;;3.0;;;;;;;;;
76;13041,158;44.0;;;;;;;;;;;;26713.0;39720.0;;
77;13342,108;45.0;36.07;;;;;29.0;;;;;;26845.0;38801.0;;
78;13642,564;;36.16;;;;;23.0;;;;;;;;;
79;13646,748;45.0;;;;;;;;;;;;26852.0;37977.0;;
80;13948,722;48.0;36.16;;;;;20.0;;;;;;27696.0;36708.0;;
