0;2560,000;;36.43;;;;;;;;;;;;;;
1;2560,000;50.0;;;;;;;;;;;;36459.0;92317.0;;
2;2561,000;114.0;36.43;;;;;0.0;;;;;;50114.0;38755.0;;
3;2561,000;110.0;36.37;;;;;0.0;;;;;;48770.0;38702.0;;
4;2562,000;112.0;36.37;;;;;0.0;;;;;;49452.0;38805.0;;
5;2563,000;114.0;;;;;;;;;;;;49815.0;38549.0;;
6;2564,000;114.0;;;;;;;;;;;;49807.0;38549.0;;
7;2565,000;114.0;;;;;;;;;;;;49793.0;38559.0;;
8;2567,000;114.0;;;;;;;;;;;;49802.0;38555.0;;
9;2568,000;114.0;;;;;;;;;;;;49857.0;;;
10;2568,000;;;;;;;;;;;;;;38575.0;;
11;2701,000;;36.55;;;;;14.0;;;;;;;;;
12;2702,000;109.0;;;;;;;;;;;;49828.0;41779.0;;
13;3001,000;;36.43;;;;;5.0;;;;;;;;;
14;3002,000;105.0;;;;;;;;;;;;49581.0;43709.0;;
15;3301,000;;35.81;;;;;17.0;;;;;;;;;
16;3302,000;103.0;;;;;;;;;;;;;;;
17;3302,000;;;;;;;;;;;;;49144.0;44161.0;;
18;3601,000;;35.55;;;;;0.0;;;;;;;;;
19;3602,000;101.0;;;;;;;;;;;;49020.0;45979.0;;
20;3901,000;;35.55;;;;;0.0;;;;;;;;;
21;3902,000;95.0;;;;;;;;;;;;47973.0;48608.0;;
22;4201,000;;35.65;;;;;0.0;;;;;;;;;
23;4202,000;94.0;;;;;;;;;;;;48608.0;51550.0;;
24;4501,000;;36.29;;;;;1.0;;;;;;;;;
25;4502,000;90.0;;;;;;;;;;;;48423.0;55943.0;;
26;4801,000;;37.11;;;;;0.0;;;;;;;;;
27;4802,000;85.0;;;;;;;;;;;;48097.0;62427.0;;
28;5101,000;;37.21;;;;;0.0;;;;;;;;;
29;5102,000;81.0;;;;;;;;;;;;47905.0;68129.0;;
30;5401,000;;37.29;;;;;3.0;;;;;;;;;
31;5402,000;78.0;;;;;;;;;;;;47643.0;74491.0;;
32;5701,000;;37.25;;;;;0.0;;;;;;;;;
33;5702,000;73.0;;;;;;;;;;;;47280.0;;;
34;5702,000;;;;;;;;;;;;;;85861.0;;
35;6001,000;;37.33;;;;;0.0;;;;;;;;;
36;6002,000;71.0;;;;;;;;;;;;47038.0;92200.0;;
37;6301,000;;36.95;;;;;3.0;;;;;;;;;
38;6302,000;68.0;;;;;;;;;;;;46776.0;98766.0;;
39;6601,000;;36.87;;;;;0.0;;;;;;;;;
40;6602,000;67.0;;;;;;;;;;;;;;;
41;6602,000;;;;;;;;;;;;;46529.0;104172.0;;
42;6901,000;;37.03;;;;;0.0;;;;;;;;;
43;6902,000;62.0;;;;;;;;;;;;45908.0;124058.0;;
44;7201,000;;37.37;;;;;4.0;;;;;;;;;
45;7202,000;58.0;;;;;;;;;;;;45124.0;148355.0;;
46;7501,000;;37.49;;;;;0.0;;;;;;;;;
47;7502,000;53.0;;;;;;;;;;;;43534.0;183432.0;;
