0;1025,000;;35.33;;;;;0.0;;;;;;;;;
1;1026,000;226.0;;;;;;;;;;;;69483.0;30840.0;;
2;1028,000;225.0;;;;;;;;;;;;69446.0;30851.0;;
3;1030,000;225.0;;;;;;;;;;;;69419.0;30856.0;;
4;1032,000;225.0;;;;;;;;;;;;69410.0;;;
5;1032,000;;;;;;;;;;;;;;30853.0;;
6;1054,000;;;64.0;;;94.09;;;;;;;;;;
7;1081,000;;;;;;;0.0;;;;;;;;;
8;1082,000;223.0;;;;;;;;;;;;69207.0;30972.0;;
9;1165,000;;;65.0;;;98.29;;;;;;;;;;
10;1195,000;;;62.0;;;98.49;;;;;;;;;;
11;1201,000;;35.47;;;;;;;;;;;;;;
12;1225,000;;;63.0;;;98.69;;;;;;;;;;
13;1255,000;;;63.0;;;98.42;;;;;;;;;;
14;1261,000;;;;;;;0.0;;;;;;;;;
15;1262,000;216.0;;;;;;;;;;;;68095.0;31226.0;;
16;1285,000;;;63.0;;;98.66;;;;;;;;;;
17;1441,000;;;;;;;0.0;;;;;;;;;
18;1442,000;211.0;;;;;;;;;;;;67287.0;31413.0;;
19;1471,000;;;65.0;;;98.26;;;;;;;;;;
20;1501,000;;36.03;;;;;;;;;;;;;;
21;1621,000;;;;;;;0.0;;;;;;;;;
22;1622,000;206.0;;;;;;;;;;;;66487.0;31540.0;;
23;1651,000;;;70.0;;;98.43;;;;;;;;;;
24;1801,000;;36.25;;;;;0.0;;;;;;;;;
25;1802,000;202.0;;;;;;;;;;;;65754.0;31656.0;;
26;1831,000;;;66.0;;;98.81;;;;;;;;;;
27;1981,000;;;;;;;2.0;;;;;;;;;
28;1982,000;198.0;;;;;;;;;;;;65142.0;31745.0;;
29;2011,000;;;71.0;;;98.67;;;;;;;;;;
30;2101,000;;36.37;;;;;;;;;;;;;;
31;2161,000;;;;;;;0.0;;;;;;;;;
32;2162,000;195.0;;;;;;;;;;;;64489.0;31850.0;;
33;2191,000;;;66.0;;;98.93;;;;;;;;;;
34;2341,000;;;;;;;0.0;;;;;;;;;
35;2342,000;191.0;;;;;;;;;;;;63891.0;31917.0;;
36;2371,000;;;67.0;;;98.87;;;;;;;;;;
37;2401,000;;36.47;;;;;;;;;;;;;;
38;2521,000;;;;;;;0.0;;;;;;;;;
39;2522,000;188.0;;;;;;;;;;;;63357.0;32019.0;;
40;2551,000;;;67.0;;;98.88;;;;;;;;;;
41;2701,000;;;;;;;0.0;;;;;;;;;
42;2701,000;;36.66;;;;;;;;;;;;;;
43;2702,000;186.0;;;;;;;;;;;;62866.0;32073.0;;
44;2731,000;;;66.0;;;98.93;;;;;;;;;;
45;2881,000;;;;;;;0.0;;;;;;;;;
46;2882,000;183.0;;;;;;;;;;;;62360.0;32191.0;;
47;2911,000;;;69.0;;;98.93;;;;;;;;;;
48;3001,000;;36.75;;;;;;;;;;;;;;
49;3061,000;;;;;;;0.0;;;;;;;;;
50;3062,000;180.0;;;;;;;;;;;;61858.0;32273.0;;
51;3091,000;;;71.0;;;98.94;;;;;;;;;;
52;3241,000;;;;;;;0.0;;;;;;;;;
53;3242,000;178.0;;;;;;;;;;;;61491.0;32331.0;;
54;3271,000;;;68.0;;;98.93;;;;;;;;;;
55;3301,000;;36.75;;;;;;;;;;;;;;
56;3421,000;;;;;;;0.0;;;;;;;;;
57;3422,000;176.0;;;;;;;;;;;;;;;
58;3422,000;;;;;;;;;;;;;61061.0;32403.0;;
59;3451,000;;;69.0;;;98.93;;;;;;;;;;
60;3601,000;;36.87;;;;;0.0;;;;;;;;;
