0;211,000;;;100.0;;;91.88;;;;;;;;;;
1;301,000;;;;;;;149.0;;;;;;;;;
2;362,000;146.0;;;;;;;;;;;;;;;
3;362,000;;;;;;;;;;;;;52963.0;30114.0;;
4;400,000;;;65.0;;;95.39;;;;;;;;;;
5;542,000;179.0;;;;;;;;;;;;59630.0;29704.0;;
6;571,000;;;75.0;;;95.33;;;;;;;;;;
7;601,000;;35.13;;;;;55.0;;;;;;;;;
8;722,000;200.0;;;;;;;;;;;;63635.0;29655.0;;
9;751,000;;;75.0;;;90.58;;;;;;;;;;
10;901,000;;;;;;;0.0;;;;;;;;;
11;902,000;213.0;;;;;;;;;;;;66186.0;29664.0;;
12;931,000;;;70.0;;;92.2;;;;;;;;;;
13;1082,000;222.0;;;;;;;;;;;;67739.0;29676.0;;
14;1111,000;;;75.0;;;96.78;;;;;;;;;;
15;1201,000;;35.16;;;;;;;;;;;;;;
16;1201,000;;;;;;;8.0;;;;;;;;;
17;1262,000;222.0;;;;;;;;;;;;67747.0;29571.0;;
18;1442,000;226.0;;;;;;;;;;;;68596.0;29747.0;;
19;1471,000;;;62.0;;;98.6;;;;;;;;;;
20;1501,000;;;;;;;63.0;;;;;;;;;
21;1622,000;226.0;;;;;;;;;;;;68586.0;29829.0;;
22;1651,000;;;62.0;;;;;;;;;;;;;
23;1801,000;224.0;35.65;;;;;0.0;;;;;;68317.0;29891.0;;
24;1831,000;;;73.0;;;97.99;;;;;;;;;;
25;1982,000;221.0;;;;;;;;;;;;67953.0;30002.0;;
26;2020,000;;;65.0;;;90.65;;;;;;;;;;
27;2101,000;;;;;;;0.0;;;;;;;;;
28;2162,000;218.0;;;;;;;;;;;;;;;
29;2162,000;;;;;;;;;;;;;67567.0;30188.0;;
30;2191,000;;;71.0;;;98.93;;;;;;;;;;
31;2342,000;215.0;;;;;;;;;;;;67045.0;30204.0;;
32;2371,000;;;72.0;;;97.8;;;;;;;;;;
33;2401,000;;36.11;;;;;0.0;;;;;;;;;
34;2522,000;212.0;;;;;;;;;;;;66595.0;;;
35;2522,000;;;;;;;;;;;;;;30297.0;;
36;2551,000;;;74.0;;;98.36;;;;;;;;;;
37;2701,000;;;;;;;0.0;;;;;;;;;
38;2702,000;209.0;;;;;;;;;;;;66054.0;30384.0;;
39;2732,000;;;53.0;;;97.18;;;;;;;;;;
40;2882,000;207.0;;;;;;;;;;;;65656.0;30443.0;;
41;2911,000;;;70.0;;;97.98;;;;;;;;;;
42;3001,000;;36.55;;;;;0.0;;;;;;;;;
43;3062,000;204.0;;;;;;;;;;;;65194.0;30473.0;;
44;3091,000;;;74.0;;;98.26;;;;;;;;;;
45;3242,000;202.0;;;;;;;;;;;;64794.0;30526.0;;
46;3271,000;;;75.0;;;98.42;;;;;;;;;;
47;3301,000;;;;;;;0.0;;;;;;;;;
48;3422,000;200.0;;;;;;;;;;;;;;;
49;3422,000;;;;;;;;;;;;;64372.0;30548.0;;
50;3451,000;;;73.0;;;98.83;;;;;;;;;;
51;3601,000;197.0;36.71;;;;;4.0;;;;;;63953.0;30566.0;;
52;3631,000;;;68.0;;;98.84;;;;;;;;;;
53;3782,000;196.0;;;;;;;;;;;;63719.0;30598.0;;
54;3811,000;;;72.0;;;98.91;;;;;;;;;;
55;3901,000;;;;;;;0.0;;;;;;;;;
56;3962,000;194.0;;;;;;;;;;;;63377.0;30603.0;;
57;3991,000;;;74.0;;;98.93;;;;;;;;;;
58;4142,000;193.0;;;;;;;;;;;;63093.0;30611.0;;
59;4171,000;;;74.0;;;98.92;;;;;;;;;;
60;4201,000;;36.59;;;;;;;;;;;;;;
61;4201,000;;;;;;;0.0;;;;;;;;;
62;4322,000;191.0;;;;;;;;;;;;62832.0;30635.0;;
63;4351,000;;;76.0;;;98.92;;;;;;;;;;
64;4501,000;;;;;;;0.0;;;;;;;;;
65;4502,000;190.0;;;;;;;;;;;;62520.0;30646.0;;
66;4531,000;;;76.0;;;98.88;;;;;;;;;;
67;4682,000;188.0;;;;;;;;;;;;62251.0;;;
68;4682,000;;;;;;;;;;;;;;30663.0;;
69;4711,000;;;76.0;;;98.91;;;;;;;;;;
70;4801,000;;36.75;;;;;0.0;;;;;;;;;
71;4862,000;187.0;;;;;;;;;;;;61992.0;30683.0;;
72;4891,000;;;76.0;;;98.91;;;;;;;;;;
73;5042,000;186.0;;;;;;;;;;;;61755.0;30667.0;;
74;5071,000;;;81.0;;;98.8;;;;;;;;;;
75;5101,000;;;;;;;2.0;;;;;;;;;
76;5222,000;183.0;;;;;;;;;;;;61373.0;30758.0;;
77;5251,000;;;76.0;;;98.45;;;;;;;;;;
78;5401,000;182.0;36.99;;;;;8.0;;;;;;61140.0;30804.0;;
79;5431,000;;;74.0;;;;;;;;;;;;;
80;5431,000;;;;;;98.86;;;;;;;;;;
81;5582,000;181.0;;;;;;;;;;;;60918.0;30844.0;;
82;5611,000;;;75.0;;;98.27;;;;;;;;;;
83;5701,000;;;;;;;0.0;;;;;;;;;
84;5762,000;179.0;;;;;;;;;;;;60657.0;30886.0;;
85;5791,000;;;74.0;;;98.74;;;;;;;;;;
86;5942,000;178.0;;;;;;;;;;;;60427.0;;;
87;5942,000;;;;;;;;;;;;;;30907.0;;
88;5971,000;;;72.0;;;98.74;;;;;;;;;;
89;6001,000;;37.03;;;;;0.0;;;;;;;;;
90;6122,000;177.0;;;;;;;;;;;;60165.0;30951.0;;
91;6151,000;;;71.0;;;98.82;;;;;;;;;;
92;6301,000;;;;;;;0.0;;;;;;;;;
