0;301,000;;;;;;;;;;;;;;29730.0;;
1;601,000;185.0;33.75;;;;;260.0;;;;;;60765.0;29691.0;;
2;901,000;204.0;33.97;;;;;175.0;;;;;;64271.0;29543.0;;
3;1201,000;217.0;33.66;;;;;31.0;;;;;;;;;
4;1201,000;;;;;;;;;;;;;66861.0;29640.0;;
5;1501,000;213.0;33.63;;;;;78.0;;;;;;66134.0;29620.0;;
6;1801,000;218.0;33.45;;;;;96.0;;;;;;66858.0;29517.0;;
7;2101,000;;33.49;;;;;;;;;;;;;;
8;2101,000;208.0;;;;;;96.0;;;;;;65637.0;30112.0;;
9;2401,000;201.0;33.63;;;;;81.0;;;;;;64831.0;30698.0;;
10;2701,000;205.0;33.89;;;;;98.0;;;;;;64849.0;29854.0;;
11;3001,000;195.0;33.55;;;;;116.0;;;;;;63735.0;30718.0;;
12;3301,000;203.0;33.81;;;;;150.0;;;;;;64283.0;29661.0;;
13;3601,000;203.0;34.0;;;;;40.0;;;;;;64444.0;;;
14;3601,000;;;;;;;;;;;;;;29810.0;;
15;3901,000;215.0;34.0;;;;;43.0;;;;;;66340.0;29524.0;;
16;4201,000;208.0;34.77;;;;;165.0;;;;;;65106.0;29561.0;;
17;4501,000;200.0;34.47;;;;;338.0;;;;;;;;;
18;4501,000;;;;;;;;;;;;;63965.0;30034.0;;
19;4801,000;205.0;34.25;;;;;123.0;;;;;;64751.0;29837.0;;
20;5101,000;203.0;34.25;;;;;285.0;;;;;;64172.0;29588.0;;
21;5401,000;;34.21;;;;;191.0;;;;;;;;;
22;5401,000;197.0;;;;;;;;;;;;63633.0;30204.0;;
23;5701,000;205.0;34.65;;;;;158.0;;;;;;65098.0;30082.0;;
24;6001,000;207.0;34.91;;;;;187.0;;;;;;65285.0;29946.0;;
25;6301,000;36.0;27.21;;;;;236.0;;;;;;36374.0;4078790.0;;
26;6601,000;36.0;27.21;;;;;0.0;;;;;;36377.0;4161166.0;;
