0;601,000;172.0;35.5;;;;;0.0;;;;;;;;;
1;601,000;;;;;;;;;;;;;58285.0;29642.0;;
2;901,000;189.0;35.59;;;;;27.0;;;;;;61519.0;29556.0;;
3;1201,000;205.0;35.91;;;;;0.0;;;;;;64769.0;29740.0;;
4;1501,000;;35.81;;;;;0.0;;;;;;;;;
5;1501,000;210.0;;;;;;;;;;;;65909.0;29994.0;;
6;1801,000;211.0;35.77;;;;;0.0;;;;;;66319.0;30302.0;;
7;2101,000;204.0;36.11;;;;;7.0;;;;;;65900.0;31256.0;;
8;2401,000;;36.47;;;;;;;;;;;;;;
9;2401,000;198.0;;;;;;2.0;;;;;;65228.0;32024.0;;
10;2701,000;203.0;35.59;;;;;6.0;;;;;;65508.0;31211.0;;
11;3001,000;201.0;35.59;;;;;2.0;;;;;;65238.0;31288.0;;
12;3301,000;198.0;35.59;;;;;0.0;;;;;;64917.0;31491.0;;
13;3601,000;196.0;35.55;;;;;0.0;;;;;;64555.0;31648.0;;
14;3901,000;195.0;35.91;;;;;4.0;;;;;;64319.0;;;
15;3901,000;;;;;;;;;;;;;;31610.0;;
16;4201,000;187.0;36.07;;;;;0.0;;;;;;63426.0;32319.0;;
17;4501,000;181.0;36.11;;;;;0.0;;;;;;62486.0;32824.0;;
18;4801,000;;36.16;;;;;0.0;;;;;;;;;
19;4801,000;175.0;;;;;;;;;;;;61856.0;33636.0;;
20;5101,000;167.0;36.25;;;;;0.0;;;;;;61074.0;35137.0;;
21;5401,000;165.0;36.29;;;;;0.0;;;;;;61570.0;36453.0;;
22;5701,000;;36.25;;;;;;;;;;;;;;
23;5701,000;164.0;;;;;;0.0;;;;;;61631.0;37004.0;;
24;6001,000;162.0;36.03;;;;;0.0;;;;;;61510.0;37583.0;;
25;6301,000;159.0;36.37;;;;;0.0;;;;;;61395.0;38296.0;;
26;6601,000;157.0;36.47;;;;;0.0;;;;;;61205.0;38722.0;;
27;6901,000;171.0;35.91;;;;;7.0;;;;;;61641.0;34496.0;;
28;7201,000;169.0;35.59;;;;;0.0;;;;;;61703.0;;;
29;7201,000;;;;;;;;;;;;;;35266.0;;
30;7501,000;169.0;35.55;;;;;0.0;;;;;;61754.0;35377.0;;
31;7801,000;185.0;35.59;;;;;20.0;;;;;;62104.0;31274.0;;
32;8101,000;177.0;35.77;;;;;1.0;;;;;;;;;
33;8101,000;;;;;;;;;;;;;62011.0;33195.0;;
34;8401,000;179.0;35.73;;;;;0.0;;;;;;62241.0;33173.0;;
35;8701,000;180.0;35.73;;;;;0.0;;;;;;62425.0;33110.0;;
36;9001,000;;35.65;;;;;;;;;;;;;;
37;9001,000;180.0;;;;;;0.0;;;;;;62502.0;33024.0;;
38;9301,000;197.0;35.81;;;;;10.0;;;;;;63783.0;30429.0;;
39;9601,000;196.0;35.73;;;;;0.0;;;;;;63574.0;30503.0;;
40;9901,000;196.0;35.73;;;;;0.0;;;;;;63605.0;30513.0;;
41;10201,000;;35.43;;;;;2.0;;;;;;;;;
42;10202,000;191.0;;;;;;;;;;;;63354.0;31207.0;;
43;10501,000;;35.99;;;;;0.0;;;;;;;;;
44;10502,000;195.0;;;;;;;;;;;;63571.0;;;
45;10502,000;;;;;;;;;;;;;;30602.0;;
46;10801,000;;36.21;;;;;0.0;;;;;;;;;
47;10802,000;192.0;;;;;;;;;;;;63319.0;30942.0;;
48;11101,000;;36.29;;;;;0.0;;;;;;;;;
49;11102,000;190.0;;;;;;;;;;;;63135.0;31321.0;;
50;11401,000;;36.47;;;;;0.0;;;;;;;;;
51;11402,000;189.0;;;;;;;;;;;;;;;
52;11402,000;;;;;;;;;;;;;63178.0;31549.0;;
53;11701,000;;36.5;;;;;0.0;;;;;;;;;
54;11702,000;188.0;;;;;;;;;;;;63026.0;31755.0;;
55;12001,000;;36.55;;;;;0.0;;;;;;;;;
56;12002,000;188.0;;;;;;;;;;;;63195.0;31964.0;;
57;12301,000;;36.59;;;;;0.0;;;;;;;;;
58;12302,000;206.0;;;;;;;;;;;;65596.0;30463.0;;
59;12601,000;;36.11;;;;;0.0;;;;;;;;;
60;12602,000;202.0;;;;;;;;;;;;65035.0;30772.0;;
61;12901,000;;36.21;;;;;0.0;;;;;;;;;
62;12902,000;201.0;;;;;;;;;;;;64762.0;30678.0;;
63;13201,000;;36.25;;;;;;;;;;;;;;
64;13201,000;;;;;;;0.0;;;;;;;;;
65;13202,000;199.0;;;;;;;;;;;;64344.0;30610.0;;
66;13501,000;;36.16;;;;;0.0;;;;;;;;;
67;13502,000;179.0;;;;;;;;;;;;60530.0;30813.0;;
