0;301,000;;;;;;;;;;;;;49908.0;30480.0;;
1;601,000;187.0;35.33;;;;;87.0;;;;;;61173.0;29636.0;;
2;901,000;212.0;34.99;;;;;22.0;;;;;;65726.0;29528.0;;
3;1201,000;;34.61;;;;;17.0;;;;;;;;;
4;1201,000;221.0;;;;;;;;;;;;67351.0;29510.0;;
5;1501,000;225.0;34.5;;;;;21.0;;;;;;68130.0;29528.0;;
6;1801,000;227.0;34.55;;;;;0.0;;;;;;68528.0;29504.0;;
7;2101,000;;34.47;;;;;;;;;;;;;;
8;2101,000;225.0;;;;;;83.0;;;;;;68321.0;29636.0;;
9;2401,000;226.0;34.13;;;;;12.0;;;;;;68464.0;29693.0;;
10;2701,000;224.0;34.09;;;;;84.0;;;;;;68006.0;29508.0;;
11;3001,000;227.0;34.25;;;;;54.0;;;;;;68548.0;29542.0;;
12;3301,000;229.0;33.93;;;;;115.0;;;;;;68842.0;29505.0;;
13;3601,000;228.0;33.89;;;;;105.0;;;;;;;;;
14;3601,000;;;;;;;;;;;;;68622.0;29530.0;;
15;3901,000;229.0;33.55;;;;;73.0;;;;;;68874.0;29539.0;;
16;4201,000;227.0;33.23;;;;;147.0;;;;;;68580.0;29525.0;;
17;4501,000;;33.37;;;;;137.0;;;;;;;;;
18;4501,000;227.0;;;;;;;;;;;;68612.0;29551.0;;
19;4801,000;230.0;33.18;;;;;29.0;;;;;;69009.0;29527.0;;
20;5101,000;226.0;32.81;;;;;27.0;;;;;;68733.0;29853.0;;
21;5401,000;;32.71;;;;;;;;;;;;;;
22;5401,000;220.0;;;;;;5.0;;;;;;68407.0;30809.0;;
23;5701,000;212.0;32.84;;;;;0.0;;;;;;67841.0;31746.0;;
24;6001,000;227.0;32.77;;;;;100.0;;;;;;68626.0;29613.0;;
25;6301,000;228.0;33.18;;;;;168.0;;;;;;68789.0;29672.0;;
26;6601,000;226.0;33.55;;;;;49.0;;;;;;68348.0;29594.0;;
27;6901,000;226.0;33.15;;;;;60.0;;;;;;68374.0;;;
28;6901,000;;;;;;;;;;;;;;29568.0;;
29;7201,000;232.0;32.89;;;;;324.0;;;;;;69410.0;29597.0;;
30;7501,000;234.0;32.84;;;;;54.0;;;;;;69761.0;29609.0;;
31;7801,000;;32.5;;;;;142.0;;;;;;;;;
32;7801,000;37.0;;;;;;;;;;;;36388.0;1073514.0;;
33;8101,000;232.0;32.63;;;;;222.0;;;;;;69471.0;29633.0;;
34;8401,000;221.0;32.81;;;;;218.0;;;;;;68285.0;30356.0;;
35;8701,000;;32.97;;;;;;;;;;;;;;
36;8701,000;215.0;;;;;;45.0;;;;;;67181.0;30350.0;;
37;9001,000;216.0;32.97;;;;;19.0;;;;;;67102.0;30115.0;;
38;9301,000;217.0;33.07;;;;;98.0;;;;;;66915.0;29676.0;;
39;9601,000;212.0;32.97;;;;;8.0;;;;;;66042.0;29736.0;;
40;9901,000;239.0;32.84;;;;;24.0;;;;;;70894.0;29740.0;;
41;10201,000;;32.84;;;;;61.0;;;;;;;;;
42;10202,000;226.0;;;;;;;;;;;;68482.0;;;
43;10202,000;;;;;;;;;;;;;;29689.0;;
44;10501,000;;32.81;;;;;59.0;;;;;;;;;
45;10502,000;150.0;;;;;;;;;;;;53873.0;30126.0;;
46;10801,000;;32.71;;;;;1.0;;;;;;;;;
47;10802,000;239.0;;;;;;;;;;;;70871.0;29772.0;;
48;11101,000;;32.71;;;;;115.0;;;;;;;;;
49;11102,000;241.0;;;;;;;;;;;;;;;
